filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,4.286808,-0.0067803916,5,tsne,min
AllFields_Resultats_MESH_193-2.npz,1.8784784,5.535648,8,tsne,min
AllFields_Resultats_MESH_163-2.npz,2.735744,2.3993716,0,tsne,min
AllFields_Resultats_MESH_162.npz,1.9526935,3.4128056,4,tsne,min
AllFields_Resultats_MESH_170.npz,2.2801785,0.8509084,5,tsne,min
AllFields_Resultats_MESH_207.npz,-1.443009,1.8263451,1,tsne,min
AllFields_Resultats_MESH_214.npz,2.8411052,5.743346,8,tsne,min
AllFields_Resultats_MESH_34.npz,2.9477928,6.3598466,8,tsne,min
AllFields_Resultats_MESH_186-2.npz,-3.6709569,1.0612088,3,tsne,min
AllFields_Resultats_MESH_182-2.npz,6.5127645,2.0705817,13,tsne,min
AllFields_Resultats_MESH_135.npz,1.5359162,4.3551893,4,tsne,min
AllFields_Resultats_MESH_163-1.npz,3.388699,-2.6847138,14,tsne,min
AllFields_Resultats_MESH_198-1.npz,4.055616,5.0627832,8,tsne,min
AllFields_Resultats_MESH_205.npz,-2.9421268,-0.1266799,3,tsne,min
AllFields_Resultats_MESH_199.npz,-2.5822322,0.8844052,3,tsne,min
AllFields_Resultats_MESH_206.npz,4.880173,3.7790911,0,tsne,min
AllFields_Resultats_MESH_219.npz,0.52388084,2.2917583,9,tsne,min
AllFields_Resultats_MESH_25.npz,6.563992,0.74546504,6,tsne,min
AllFields_Resultats_MESH_164.npz,3.1044066,4.0620456,0,tsne,min
AllFields_Resultats_MESH_9-1.npz,-2.9500396,0.7269476,3,tsne,min
AllFields_Resultats_MESH_212.npz,6.5881295,-1.074776,10,tsne,min
AllFields_Resultats_MESH_168-1.npz,0.941861,3.116893,4,tsne,min
AllFields_Resultats_MESH_192.npz,-2.9062893,4.766739,12,tsne,min
AllFields_Resultats_MESH_26.npz,4.1721916,3.6970594,0,tsne,min
AllFields_Resultats_MESH_197.npz,0.80025643,0.60398036,1,tsne,min
AllFields_Resultats_MESH_193-1.npz,3.3116648,-1.370185,14,tsne,min
AllFields_Resultats_MESH_6.npz,4.768526,5.424922,8,tsne,min
AllFields_Resultats_MESH_191.npz,2.0124016,-3.0037868,14,tsne,min
AllFields_Resultats_MESH_19.npz,0.40471077,3.2379,9,tsne,min
AllFields_Resultats_MESH_28.npz,3.3643045,0.46805108,5,tsne,min
AllFields_Resultats_MESH_139.npz,4.107081,-3.4648032,2,tsne,min
AllFields_Resultats_MESH_213.npz,-0.14270243,2.3424807,9,tsne,min
AllFields_Resultats_MESH_167.npz,3.516209,-0.6092796,5,tsne,min
AllFields_Resultats_MESH_54-2.npz,4.2428627,-3.4691603,2,tsne,min
AllFields_Resultats_MESH_148.npz,0.04228645,3.9068239,9,tsne,min
AllFields_Resultats_MESH_210.npz,4.0833664,-1.8170362,14,tsne,min
AllFields_Resultats_MESH_158.npz,6.349817,-2.6746242,10,tsne,min
AllFields_Resultats_MESH_174.npz,-3.615744,1.4990762,3,tsne,min
AllFields_Resultats_MESH_196-1.npz,0.20598893,0.39390028,1,tsne,min
AllFields_Resultats_MESH_144-2.npz,3.6584125,3.163526,0,tsne,min
AllFields_Resultats_MESH_119-1.npz,-3.2816474,2.24687,12,tsne,min
AllFields_Resultats_MESH_203.npz,1.5856935,4.370666,4,tsne,min
AllFields_Resultats_MESH_209.npz,1.6136587,-0.9810261,7,tsne,min
AllFields_Resultats_MESH_2.npz,0.9722299,6.1841636,8,tsne,min
AllFields_Resultats_MESH_198-2.npz,8.892189,-1.6743141,10,tsne,min
AllFields_Resultats_MESH_23.npz,3.6248534,0.27896515,5,tsne,min
AllFields_Resultats_MESH_137.npz,3.7235837,1.6272334,0,tsne,min
AllFields_Resultats_MESH_11.npz,6.9137545,1.4838903,6,tsne,min
AllFields_Resultats_MESH_40.npz,4.690452,5.5622635,8,tsne,min
AllFields_Resultats_MESH_189.npz,-3.832658,-0.87090987,3,tsne,min
AllFields_Resultats_MESH_177.npz,1.6287922,1.5346622,4,tsne,min
AllFields_Resultats_MESH_166.npz,1.5051665,2.3564348,4,tsne,min
AllFields_Resultats_MESH_157.npz,2.0869646,-0.37427816,7,tsne,min
AllFields_Resultats_MESH_151.npz,4.3181653,-1.2022705,5,tsne,min
AllFields_Resultats_MESH_188.npz,1.3827858,-1.1754885,7,tsne,min
AllFields_Resultats_MESH_200.npz,3.66528,2.1681361,0,tsne,min
AllFields_Resultats_MESH_165.npz,7.6851974,2.22378,13,tsne,min
AllFields_Resultats_MESH_175.npz,-2.120748,1.6381454,3,tsne,min
AllFields_Resultats_MESH_152.npz,3.7053235,-4.325534,2,tsne,min
AllFields_Resultats_MESH_202.npz,5.5169153,4.0874343,13,tsne,min
AllFields_Resultats_MESH_185.npz,-1.5437369,2.7030203,9,tsne,min
AllFields_Resultats_MESH_208.npz,4.599611,1.9197154,0,tsne,min
AllFields_Resultats_MESH_55.npz,3.1360981,-1.5796814,14,tsne,min
AllFields_Resultats_MESH_3.npz,-4.395376,2.1534345,12,tsne,min
AllFields_Resultats_MESH_155.npz,2.489699,0.7852902,5,tsne,min
AllFields_Resultats_MESH_161.npz,2.1992638,2.5167623,4,tsne,min
AllFields_Resultats_MESH_217.npz,-0.30885947,-1.1245546,11,tsne,min
AllFields_Resultats_MESH_187.npz,1.2256054,-1.402521,7,tsne,min
AllFields_Resultats_MESH_194.npz,5.3162413,3.3909323,13,tsne,min
AllFields_Resultats_MESH_204.npz,8.898741,-1.6759495,10,tsne,min
AllFields_Resultats_MESH_136.npz,-3.3196988,-0.22444402,3,tsne,min
AllFields_Resultats_MESH_134.npz,-2.3897362,-1.938688,11,tsne,min
AllFields_Resultats_MESH_181.npz,-3.7764816,3.1405196,12,tsne,min
AllFields_Resultats_MESH_44.npz,0.5676962,1.4835247,1,tsne,min
AllFields_Resultats_MESH_117.npz,0.76072615,-2.463676,7,tsne,min
AllFields_Resultats_MESH_182-3.npz,-2.3280666,-1.374933,11,tsne,min
AllFields_Resultats_MESH_186-1.npz,5.1668715,1.2139206,6,tsne,min
AllFields_Resultats_MESH_171.npz,0.1744106,1.8777316,9,tsne,min
AllFields_Resultats_MESH_31.npz,2.222238,6.0580063,8,tsne,min
AllFields_Resultats_MESH_128.npz,-0.88344085,-2.667485,11,tsne,min
AllFields_Resultats_MESH_195.npz,-0.50791854,-1.4465423,11,tsne,min
AllFields_Resultats_MESH_215.npz,-1.3578403,1.6110436,1,tsne,min
AllFields_Resultats_MESH_138.npz,4.7317734,4.267384,0,tsne,min
AllFields_Resultats_MESH_142.npz,4.6258373,1.1122109,6,tsne,min
AllFields_Resultats_MESH_160.npz,1.3095938,4.054655,4,tsne,min
AllFields_Resultats_MESH_182-1.npz,-3.2763224,0.73484313,3,tsne,min
AllFields_Resultats_MESH_119-2.npz,-1.3688865,0.8962452,1,tsne,min
AllFields_Resultats_MESH_211.npz,-2.1241019,-0.81425375,11,tsne,min
AllFields_Resultats_MESH_140.npz,3.567954,2.5499227,0,tsne,min
AllFields_Resultats_MESH_168-2.npz,-0.15411223,3.2449152,9,tsne,min
AllFields_Resultats_MESH_183.npz,-2.1487725,0.4411364,3,tsne,min
AllFields_Resultats_MESH_42-1.npz,6.2203984,2.7937796,13,tsne,min
AllFields_Resultats_MESH_129.npz,2.9382234,-2.3990674,14,tsne,min
AllFields_Resultats_MESH_42-3.npz,-2.7063165,4.375304,12,tsne,min
AllFields_Resultats_MESH_178.npz,-2.0481455,-2.2486324,11,tsne,min
AllFields_Resultats_MESH_173.npz,-4.0892224,-0.7238064,3,tsne,min
AllFields_Resultats_MESH_121.npz,0.53045714,3.066609,9,tsne,min
AllFields_Resultats_MESH_42-2.npz,2.6676989,-3.649109,2,tsne,min
AllFields_Resultats_MESH_172.npz,8.217714,2.4318185,13,tsne,min
AllFields_Resultats_MESH_196-2.npz,-0.99807453,0.3066094,1,tsne,min
AllFields_Resultats_MESH_153.npz,6.54919,3.202407,13,tsne,min
AllFields_Resultats_MESH_120.npz,0.015362953,0.9642,1,tsne,min
AllFields_Resultats_MESH_180.npz,-0.6408261,-0.5562838,11,tsne,min
AllFields_Resultats_MESH_1.npz,4.9953165,-0.39837632,5,tsne,min
AllFields_Resultats_MESH_159.npz,3.4165874,-3.3704233,2,tsne,min
